,TT_74FS,XGS600_T1,XGS600_T2,XGS600_T3,XGS600_T4
2025-09-18 11:05:38.999759-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:39.991679-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:41.002202-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:42.001329-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:43.015463-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:43.999375-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:45.014753-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:46.034131-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:47.033402-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:48.046310-05:00,1.1,1919.0,,13.33,0.9321
2025-09-18 11:05:49.046779-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:50.077095-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:51.064760-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:05:52.074146-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:53.061695-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:54.076998-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:55.077166-05:00,1.1,1919.0,,13.33,0.9233
